id,ime,regija,mesto,velikost,cena,tip,leto,adaptirano,nadstropje,agencija,opis,url
6300816,bled-blizina-jezera-krajse-obdobje-stanovanje,Gorenjska,Radovljica,50.0,450.0,enoinpolsobno,1900,,2,ALEA nepremičninska družba d.o.o.,"50 m2, 1,5-sobno, zgrajeno l. 1900, 2/2 nad., stanovanje se nahaja cca 100M od jezera na Ljubljanski cesti v urejeni in ...",https://www.nepremicnine.net/oglasi-oddaja/bled-blizina-jezera-krajse-obdobje-stanovanje_6300816/
6292253,bled-center-stanovanje,Gorenjska,Radovljica,26.0,400.0,garsonjera,2010,2010,,Zasebna ponudba,"26 m2, garsonjera, adaptirana l. 2010, 1. nad., v centru bleda oddamo manjše stanovanje s svojo kuhinjo in kopalnico v v...",https://www.nepremicnine.net/oglasi-oddaja/bled-center-stanovanje_6292253/
6298178,bled-center-stanovanje,Gorenjska,Radovljica,55.0,800.0,enoinpolsobno,2007,,P,Zasebna ponudba,"55 m2, 1,5-sobno, poslovni apartma, zgrajeno l. 2007, P/2 nad., oddamo. Cena: cca 800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/bled-center-stanovanje_6298178/
6299692,bled-dobe-stanovanje,Gorenjska,Radovljica,80.0,900.0,trisobno,2018,2018,,Zasebna ponudba,"80 m2, 3-sobno, adaptirano l. 2018, visoko pritličje, adaptirano l. 2018, CK-plin, KTV, oddamo. Cena: cca 900,00 EUR/mes...",https://www.nepremicnine.net/oglasi-oddaja/bled-dobe-stanovanje_6299692/
6299045,bled-grajska-cesta-24-stanovanje,Gorenjska,Radovljica,12.0,240.0,Soba,1979,,,Zasebna ponudba,"12 m2, soba, zgrajena l. 1979, pritličje, oddamo. Cena: cca 240,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/bled-grajska-cesta-24-stanovanje_6299045/
6194649,bled-gregorciceva-29-stanovanje,Gorenjska,Radovljica,33.75,545.0,enosobno,2018,2018,,GG Bled d.o.o.,"33,75 m2, 1-sobno, adaptirano l. 2018, 1. nad., Stanovanje obsega spalnico (neopremljeno), popolno opremljeno kuhinjo z ...",https://www.nepremicnine.net/oglasi-oddaja/bled-gregorciceva-29-stanovanje_6194649/
6296553,bled-mlino-stanovanje,Gorenjska,Radovljica,18.1,350.0,garsonjera,2018,2018,,Zasebna ponudba,"18,1 m2, garsonjera, adaptirana l. 2018, polklet, oddamo. Cena: 350,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/bled-mlino-stanovanje_6296553/
6299149,bled-naselje-mlino-stanovanje,Gorenjska,Radovljica,60.0,800.0,dvosobno,2019,2019,P,Zasebna ponudba,"60 m2, 2-sobno, adaptirano l. 2019, P/4 nad., oddamo. Cena: cca 800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/bled-naselje-mlino-stanovanje_6299149/
6296646,bled-ribenska-cesta-1-stanovanje,Gorenjska,Radovljica,44.7,700.0,garsonjera,2007,,P,Zasebna ponudba,"44,7 m2, garsonjera, zgrajena l. 2007, P/3 nad., oddamo. Cena: 700,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/bled-ribenska-cesta-1-stanovanje_6296646/
6296693,bled-zasip-stanovanje,Gorenjska,Radovljica,100.0,750.0,triinpolsobno,2007,,1,Zasebna ponudba,"100 m2, 3,5-sobno, zgrajeno l. 2007, 1/2 nad., Za daljše časovno obdobje oddamo opremljeno stanovanje, oddamo. Cena: 750...",https://www.nepremicnine.net/oglasi-oddaja/bled-zasip-stanovanje_6296693/
6267889,bohinjska-bistrica-stanovanje,Gorenjska,Radovljica,70.0,600.0,trisobno,1935,,,Zasebna ponudba,"70 m2, 3-sobno, zgrajeno l. 1935, pritličje, oddamo. Cena: 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/bohinjska-bistrica-stanovanje_6267889/
6295147,bosamarin-stanovanje,J. Primorska,Koper,20.0,250.0,enosobno,2004,,,Zasebna ponudba,"20 m2, 1-sobno, zgrajeno l. 2004, pritličje, v hiši, lasten vhod, opremljeno, svetlo, mirno, soba, kopalnica, mini kuhin...",https://www.nepremicnine.net/oglasi-oddaja/bosamarin-stanovanje_6295147/
6293045,brdo-stanovanje,LJ-mesto,Lj. Vič-Rudnik,50.0,800.0,dvosobno,2014,,1,Zasebna ponudba,"50 m2, 2-sobno, zgrajeno l. 2014, 1/4 nad., oddamo. Cena: 800,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brdo-stanovanje_6293045/
6295775,brdo-stanovanje,LJ-mesto,Lj. Vič-Rudnik,95.0,1650.0,,2002,,,LJUBLJANA NEPREMIČNINE d.o.o.,"95 m2, 4-sobno, zgrajeno l. 2002, oddamo. Cena: 1.650,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brdo-stanovanje_6295775/
6300962,brdo-jezkova-ulica-5-stanovanje,LJ-mesto,Lj. Vič-Rudnik,79.2,825.0,dvosobno,2016,,,Stanovanjski sklad RS,"79,2 m2, 2-sobno, dupleks, zgrajeno l. 2016, pritličje, oddamo. Cena: 825,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brdo-jezkova-ulica-5-stanovanje_6300962/
6300961,brdo-jezkova-ulica-5-stanovanje,LJ-mesto,Lj. Vič-Rudnik,104.2,992.0,,2016,,,Stanovanjski sklad RS,"104,2 m2, 4-sobno, dupleks, zgrajeno l. 2016, pritličje, oddamo. Cena: 992,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brdo-jezkova-ulica-5-stanovanje_6300961/
6288618,brdo-zeleni-gaj-stanovanje,LJ-mesto,Lj. Vič-Rudnik,143.0,1950.0,,2017,,3,Zasebna ponudba,"143 m2, 4,5-sobno, penthouse, novogradnja - zgr. l. 2017, 3/4 nad., novo, luksuzno opremljeno petsobno stano...",https://www.nepremicnine.net/oglasi-oddaja/brdo-zeleni-gaj-stanovanje_6288618/
6253760,brezje-pri-grosupljem-stanovanje,LJ-okolica,Grosuplje,26.0,300.0,garsonjera,2008,,P,Zasebna ponudba,"26 m2, garsonjera, zgrajena l. 2008, P/2 nad., Oddam delno opremljeno garsonjero, primerno za eno osebo, ali študenta-št...",https://www.nepremicnine.net/oglasi-oddaja/brezje-pri-grosupljem-stanovanje_6253760/
6300209,breznica-stanovanje,Koroška,Ravne na Koroškem,20.0,260.0,Soba,2010,,1,Zasebna ponudba,"20 m2, soba, zgrajena l. 2010, 1/1 nad., Oddamo sobo s kopalnico, v souporabi opremljene kuhinje s še dvema sobama. Soba...",https://www.nepremicnine.net/oglasi-oddaja/breznica-stanovanje_6300209/
6298225,brezovica-pri-ljubljani-stanovanje,LJ-okolica,Lj. J,65.0,600.0,dvosobno,1995,,,Zasebna ponudba,"65 m2, 2-sobno, zgrajeno l. 1995, pritličje, oddamo. Cena: 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brezovica-pri-ljubljani-stanovanje_6298225/
6300300,brezovica-pri-ljubljani-stanovanje,LJ-okolica,Lj. J,111.0,870.0,triinpolsobno,2002,,2,Zasebna ponudba,"111 m2, 3,5-sobno, zgrajeno l. 2002, 2/2 nad., 111 m2,3,5-sobno, zgrajeno l. 2002, Oddamo popolnoma opremljeno stanovanj...",https://www.nepremicnine.net/oglasi-oddaja/brezovica-pri-ljubljani-stanovanje_6300300/
6173784,brod-stanovanje,LJ-mesto,Lj. Šiška,65.0,650.0,dvosobno,2011,2011,,Zasebna ponudba,"65 m2, 2-sobno, dupleks, adaptirano l. 2011, pritličje, primerno za 1,2 osebi, par, lasten vhod, nizki stroški, parking ...",https://www.nepremicnine.net/oglasi-oddaja/brod-stanovanje_6173784/
6295356,brod-lj-stanovanje,LJ-mesto,Lj. Šiška,60.0,550.0,dvoinpolsobno,1970,2010,1,Zasebna ponudba,"60 m2, 2,5-sobno, zgrajeno l. 1970, adaptirano l. 2010, 1/3 nad., Oddamo stanovanje na Brodu - odlična lokacija za par, ...",https://www.nepremicnine.net/oglasi-oddaja/brod-lj-stanovanje_6295356/
6284512,brod-novo-moderno-klima--stanovanje,LJ-mesto,Lj. Šiška,86.83,770.0,trisobno,2019,2019,2,Zasebna ponudba,"86,83 m2, 3-sobno, adaptirano l. 2019, 250 m2 zemljišča, 2/2 nad., stanovanje v 3 stan. hiši, fiksno opremljeno z modern...",https://www.nepremicnine.net/oglasi-oddaja/brod-novo-moderno-klima--stanovanje_6284512/
6232323,brod-vizmarje-stanovanje,LJ-mesto,Lj. Šiška,120.0,1500.0,triinpolsobno,1972,2018,,LJUBLJANA NEPREMIČNINE d.o.o.,"120 m2, 3,5-sobno, zgrajeno l. 1972, adaptirano l. 2018, oddamo. Cena: 1.500,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brod-vizmarje-stanovanje_6232323/
6287037,brstnik-stanovanje,Savinjska,Laško,75.0,380.0,dvoinpolsobno,1990,,,Zasebna ponudba,"75 m2, 2,5-sobno, zgrajeno l. 1990, odam starejsi osebi . .380 z stroski tel.031809677, oddamo. Cena: 380,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/brstnik-stanovanje_6287037/
6284127,bs-3-stanovanje,LJ-mesto,Lj. Bežigrad,35.0,600.0,enosobno,1981,2018,1,Zasebna ponudba,"35 m2, 1-sobno, zgrajeno l. 1981, adaptirano l. 2018, 1/4 nad., Oddamo popolnoma opremljeno in celotno obnovljeno stanov...",https://www.nepremicnine.net/oglasi-oddaja/bs-3-stanovanje_6284127/
6301026,bs-3-stanovanje,LJ-mesto,Lj. Bežigrad,52.0,720.0,dvoinpolsobno,1978,2017,1,Zasebna ponudba,"52 m2, 2,5-sobno, zgrajeno l. 1978, adaptirano l. 2017, 1/4 nad., Komplet opremljeno, zelo svetlo stanovanje, vseljivo 0...",https://www.nepremicnine.net/oglasi-oddaja/bs-3-stanovanje_6301026/
6267282,bs-3-stanovanje,LJ-mesto,Lj. Bežigrad,54.0,720.0,dvoinpolsobno,1978,2019,1,"BAZA, posredovanje v prometu z nepremičninami, Brina Sotlar s.p.","54 m2, 2,5-sobno, zgrajeno l. 1978, adaptirano l. 2019, 1/4 nad., ODDAJA - 2,5-sobno stanovanje, Ljubljana Bežigrad, zgr...",https://www.nepremicnine.net/oglasi-oddaja/bs-3-stanovanje_6267282/
6301500,bs-3-v-blizini-austria-trend-hotel-stanovanje,LJ-mesto,Lj. Bežigrad,7.5,260.0,Soba,1981,2018,M,Zasebna ponudba,"7,5 m2, soba, zgrajena l. 1981, adaptirana l. 2018, M/3 nad., prenovnjeno, mansarda, mansardno stanovanje, T2, optika, p...",https://www.nepremicnine.net/oglasi-oddaja/bs-3-v-blizini-austria-trend-hotel-stanovanje_6301500/
6298992,bs-3-vojkova-c-stanovanje,LJ-mesto,Lj. Bežigrad,46.0,580.0,dvosobno,1981,1017,12,Zasebna ponudba,"46 m2, 2-sobno, zgrajeno l. 1981, adaptirano l. 1017, 12/14 nad., Opremljeno za par. Ločena spalnica. Kadilci in male ži...",https://www.nepremicnine.net/oglasi-oddaja/bs-3-vojkova-c-stanovanje_6298992/
6301197,btc-stanovanje,LJ-mesto,Lj. Moste-Polje,59.0,600.0,dvosobno,1982,,8,Zasebna ponudba,"59 m2, 2-sobno, zgrajeno l. 1982, 8/10 nad., Oddamo dvosobno opremljeno stanovanje na dobri lokaciji ob Šmartinski cesti...",https://www.nepremicnine.net/oglasi-oddaja/btc-stanovanje_6301197/
6301155,btc-smartinska-cesta-stanovanje,LJ-mesto,Lj. Moste-Polje,55.0,700.0,enoinpolsobno,2017,2017,2,Zasebna ponudba,"55 m2, 1,5-sobno, adaptirano l. 2017, adaptirano l. 2017, 2/2 nad., Odamo stanovanje na Šmartinski cesti v Ljubljani nas...",https://www.nepremicnine.net/oglasi-oddaja/btc-smartinska-cesta-stanovanje_6301155/
6208953,bukovci-stanovanje,Podravska,Ptuj,80.2,450.0,trisobno,1998,,,"Nepremičninska družba d.o.o., pe RE/MAX Poetovio","80,2 m2, 3-sobno, zgrajeno l. 1998, pritličje, oddamo novo pritlično stanovanje v bukovcih, oddamo. Cena: 450,00 EUR/m2/...",https://www.nepremicnine.net/oglasi-oddaja/bukovci-stanovanje_6208953/
6299667,celje-stanovanje,Savinjska,Celje,26.0,270.0,garsonjera,2018,2018,P,Zasebna ponudba,"26 m2, garsonjera, adaptirana l. 2018, P/P, Oddam garsonjero, oddamo. Cena: 270,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/celje-stanovanje_6299667/
6300018,celje-center-stanovanje,Savinjska,Celje,110.0,700.0,trisobno,2008,2012,4,Zasebna ponudba,"110 m2, 3-sobno, zgrajeno l. 2008, adaptirano l. 2012, 4/4 nad., S 5. 11. oddamo svetlo in prostorno stanovanje na izjem...",https://www.nepremicnine.net/oglasi-oddaja/celje-center-stanovanje_6300018/
6295124,celje-center-mesta-stanovanje,Savinjska,Celje,17.3,300.0,garsonjera,1922,2019,2,"Nepremičninska družba, d.o.o., PE RE/MAX Premium","17,3 m2, garsonjera, zgrajena l. 1922, adaptirana l. 2019, 2/2 nad., oddamo. Cena: 300,00 EUR/m2/mes",https://www.nepremicnine.net/oglasi-oddaja/celje-center-mesta-stanovanje_6295124/
6300915,celje-center-mestna-trznica-stanovanje,Savinjska,Celje,49.8,370.0,enoinpolsobno,2019,2019,1,Zasebna ponudba,"49,8 m2, 1,5-sobno, adaptirano l. 2019, adaptirano l. 2019, 423 m2 zemljišča, 1/K+P+1+M, oddamo. Cena: 370,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/celje-center-mestna-trznica-stanovanje_6300915/
6301268,celje-hudinja-nasproti-mercurja-stanovanje,Savinjska,Celje,36.0,340.0,enosobno,1970,2018,4,Zasebna ponudba,"36 m2, 1-sobno, zgrajeno l. 1970, adaptirano l. 2018, 4/4 nad., Oddam Celja-Hudinja-Ulica Frankolovskih žrtev 1A, naspro...",https://www.nepremicnine.net/oglasi-oddaja/celje-hudinja-nasproti-mercurja-stanovanje_6301268/
6298615,celje-nova-vas-stanovanje,Savinjska,Celje,67.0,550.0,dvoinpolsobno,1981,,8,Zasebna ponudba,"67 m2, 2,5-sobno, zgrajeno l. 1981, 8/8 nad., oddamo. Cena: 550,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/celje-nova-vas-stanovanje_6298615/
6298927,celje-novi-trg-16-3000-stanovanje,Savinjska,Celje,70.0,680.0,dvosobno,2007,2012,1,Zasebna ponudba,"70 m2, 2-sobno, zgrajeno l. 2007, adaptirano l. 2012, 1/3 nad., oddamo. Cena: 680,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/celje-novi-trg-16-3000-stanovanje_6298927/
6299111,celje-oblakova-stanovanje,Savinjska,Celje,18.0,270.0,garsonjera,1960,2019,6,Zasebna ponudba,"18 m2, garsonjera, zgrajena l. 1960, adaptirana l. 2019, 6/6 nad., oddamo. Cena: 270,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/celje-oblakova-stanovanje_6299111/
6299727,celje-stanetova-28-stanovanje,Savinjska,Celje,41.0,350.0,enoinpolsobno,1988,,4,Zasebna ponudba,"41 m2, 1,5-sobno, zgrajeno l. 1988, 4/4 nad., oddamo. Cena: 350,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/celje-stanetova-28-stanovanje_6299727/
6300111,cezarji-mirna-lokacija-blizu-avtobusna-p-stanovanje,J. Primorska,Koper,42.0,480.0,dvosobno,2000,,,Zasebna ponudba,"42 m2, 2-sobno, zgrajeno l. 2000, 1. nad., Popolno opremljen apartma, CK, Klima, STV, Wifi, Plin, balkon, lastno parkiri...",https://www.nepremicnine.net/oglasi-oddaja/cezarji-mirna-lokacija-blizu-avtobusna-p-stanovanje_6300111/
6295989,crnomelj-stanovanje,Dolenjska,Črnomelj,165.0,900.0,petsobno,1995,,,Zasebna ponudba,"165 m2, 5 in večsobno, zgrajeno l. 1995, Oddam stanovanje 165 m2 v katerem je 10 enoposteljnih ležišč v petih sobah. Min...",https://www.nepremicnine.net/oglasi-oddaja/crnomelj-stanovanje_6295989/
6255658,crnomelj-cardak-stanovanje,Dolenjska,Črnomelj,16.0,120.0,Soba,1965,2018,P,Zasebna ponudba,"16 m2, soba, zgrajena l. 1965, adaptirana l. 2018, 1.300 m2 zemljišča, P/P, Oddam posteljo delavcem v stanovanjski hisi ...",https://www.nepremicnine.net/oglasi-oddaja/crnomelj-cardak-stanovanje_6255658/
6300611,crnuce-stanovanje,LJ-mesto,Lj. Bežigrad,37.0,600.0,enosobno,2000,,,Zasebna ponudba,"37 m2, 1-sobno, zgrajeno l. 2000, oddamo. Cena: 600,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6300611/
6267247,crnuce-stanovanje,LJ-mesto,Lj. Bežigrad,37.0,500.0,enosobno,1987,2019,3,Zasebna ponudba,"37 m2, 1-sobno, zgrajeno l. 1987, adaptirano l. 2019, 3/3 nad., V celoti prenovljeno, delno opremljeno enosobno stanovan...",https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6267247/
6300392,crnuce-stanovanje,LJ-mesto,Lj. Bežigrad,70.0,750.0,trisobno,2005,,1,Senon d.o.o.,"70 m2, 3-sobno, zgrajeno l. 2005, 1/3 nad., Oddamo opremljeno trisobno stanovanje, 2 balkona, klet, parkirno mesto v kle...",https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6300392/
6291142,crnuce-stanovanje,LJ-mesto,Lj. Bežigrad,72.9,875.0,dvosobno,2019,,,"Stoja trade, d.o.o., Ljubljana","72,9 m2, 2-sobno, zgrajeno l. 2019, oddamo. Cena: 875,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6291142/
6245439,crnuce-stanovanje,LJ-mesto,Lj. Bežigrad,84.0,1100.0,trisobno,1985,2012,,"Stoja trade, d.o.o., Ljubljana","84 m2, 3-sobno, zgrajeno l. 1985, adaptirano l. 2012, oddamo. Cena: 1.100,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6245439/
6298239,crnuce-bezigrad-stanovanje,LJ-mesto,Lj. Bežigrad,18.0,300.0,Soba,1985,,,Zasebna ponudba,"18 m2, soba, zgrajena l. 1985, oddamo. Cena: 300,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/crnuce-bezigrad-stanovanje_6298239/
6301113,crnuce-blizina-mesni-avtobus-st-21-in-stanovanje,LJ-mesto,Lj. Bežigrad,10.0,180.0,Soba,1980,2013,1,Zasebna ponudba,"10 m2, soba, zgrajena l. 1980, adaptirana l. 2013, 700 m2 zemljišča, 1/1 nad., Stanovanje je opremljeno z CK, Internetom...",https://www.nepremicnine.net/oglasi-oddaja/crnuce-blizina-mesni-avtobus-st-21-in-stanovanje_6301113/
6289161,crnuce-novo-naselje-stanovanje,LJ-mesto,Lj. Bežigrad,57.0,875.0,dvosobno,2019,,2,Zasebna ponudba,"57 m2, 2-sobno, zgrajeno l. 2019, 2/4 nad., Novo komfortno stanovanje z garažnim mestom oddamo za daljši čas, oddamo. Ce...",https://www.nepremicnine.net/oglasi-oddaja/crnuce-novo-naselje-stanovanje_6289161/
6290379,crnuce-savski-breg-stanovanje,LJ-mesto,Lj. Bežigrad,42.0,630.0,enoinpolsobno,2010,,P,Zasebna ponudba,"42 m2, 1,5-sobno, poslovni apartma, v stavbi zgrajeni l. 2010, P/5 nad., Oddamo prijetno stanovanje, primerno za par ali...",https://www.nepremicnine.net/oglasi-oddaja/crnuce-savski-breg-stanovanje_6290379/
6299853,crnuce-savski-breg-stanovanje,LJ-mesto,Lj. Bežigrad,68.0,800.0,dvoinpolsobno,2009,,3,Zasebna ponudba,"68 m2, 2,5-sobno, zgrajeno l. 2009, 3/5 nad., ČRNUČE, Ulica Koroškega bataljona, 68 m2, 2,5-sobno stanovanje, v stavbi z...",https://www.nepremicnine.net/oglasi-oddaja/crnuce-savski-breg-stanovanje_6299853/
6238562,dob-stanovanje,LJ-okolica,Domžale,150.0,1000.0,petsobno,1900,1972,1,"Stoja trade, d.o.o., Ljubljana","150 m2, 5 in večsobno, zgrajeno l. 1900, adaptirano l. 1972, 1/2 nad., oddamo. Cena: 1.000,00 EUR/mes",https://www.nepremicnine.net/oglasi-oddaja/dob-stanovanje_6238562/
